"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.86.228","66.22.206.17","RTCP","102","Sender Report   "
"2","0.183195","fe80::14a4:bee9:1dad:1161","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"3","0.183667","192.168.86.72","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"4","0.184236","192.168.86.72","224.0.0.251","MDNS","251","Standard query response 0x0000 PTR, cache flush erin.local PTR, cache flush erin.local NSEC, cache flush 1.6.1.1.D.A.D.1.9.E.E.B.4.A.4.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 72.86.168.192.in-addr.arpa OPT"
"5","0.184846","fe80::14a4:bee9:1dad:1161","ff02::fb","MDNS","271","Standard query response 0x0000 PTR, cache flush erin.local PTR, cache flush erin.local NSEC, cache flush 1.6.1.1.D.A.D.1.9.E.E.B.4.A.4.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 72.86.168.192.in-addr.arpa OPT"
"6","0.185347","192.168.86.72","224.0.0.251","MDNS","211","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question TXT 44079426-1AB1-5FD6-8BFF-7A40DECA9CD6._homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"7","0.185915","fe80::14a4:bee9:1dad:1161","ff02::fb","MDNS","231","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question TXT 44079426-1AB1-5FD6-8BFF-7A40DECA9CD6._homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"8","0.463262","66.22.206.17","192.168.86.228","RTCP","94","Receiver Report   "
"9","0.798369","192.168.86.72","224.0.0.251","MDNS","466","Standard query 0x0000 ANY erin._companion-link._tcp.local, ""QU"" question ANY 44079426-1AB1-5FD6-8BFF-7A40DECA9CD6._homekit._tcp.local, ""QU"" question ANY erin._mediaremotetv._tcp.local, ""QU"" question ANY erin._airplay._tcp.local, ""QU"" question ANY C869CD808DBE@erin._raop._tcp.local, ""QU"" question ANY 70-35-60-63.1 erin._sleep-proxy._udp.local, ""QU"" question ANY erin.local, ""QU"" question SRV 0 0 49153 erin.local SRV 0 0 49851 erin.local SRV 0 0 49154 erin.local SRV 0 0 7000 erin.local SRV 0 0 7000 erin.local SRV 0 0 50310 erin.local AAAA fe80::14a4:bee9:1dad:1161 A 192.168.86.72 OPT"
"10","0.799111","fe80::14a4:bee9:1dad:1161","ff02::fb","MDNS","486","Standard query 0x0000 ANY erin._companion-link._tcp.local, ""QU"" question ANY 44079426-1AB1-5FD6-8BFF-7A40DECA9CD6._homekit._tcp.local, ""QU"" question ANY erin._mediaremotetv._tcp.local, ""QU"" question ANY erin._airplay._tcp.local, ""QU"" question ANY C869CD808DBE@erin._raop._tcp.local, ""QU"" question ANY 70-35-60-63.1 erin._sleep-proxy._udp.local, ""QU"" question ANY erin.local, ""QU"" question SRV 0 0 49153 erin.local SRV 0 0 49851 erin.local SRV 0 0 49154 erin.local SRV 0 0 7000 erin.local SRV 0 0 7000 erin.local SRV 0 0 50310 erin.local AAAA fe80::14a4:bee9:1dad:1161 A 192.168.86.72 OPT"
